Date,Home,Home Score,Away,Away Score,Match,Match_Name
2024-07-17,Columbus Crew,1,Charlotte FC,1,Columbus Crew vs Charlotte FC,Columbus Crew vs Charlotte FC 2024-07-17
2024-07-20,Atlanta United,2,Columbus Crew,1,Atlanta United vs Columbus Crew,Atlanta United vs Columbus Crew 2024-07-20
2024-08-28,Philadelphia Union,0,Columbus Crew,1,Philadelphia Union vs Columbus Crew,Philadelphia Union vs Columbus Crew 2024-08-28
2024-08-31,Columbus Crew,4,New York City FC,2,Columbus Crew vs New York City FC,Columbus Crew vs New York City FC 2024-08-31
2024-09-07,Columbus Crew,0,Seattle Sounders FC,4,Columbus Crew vs Seattle Sounders FC,Columbus Crew vs Seattle Sounders FC 2024-09-07
2024-07-17,FC Cincinnati,0,Chicago Fire FC,1,FC Cincinnati vs Chicago Fire FC,FC Cincinnati vs Chicago Fire FC 2024-07-17
2024-07-20,Inter Miami CF,2,Chicago Fire FC,1,Inter Miami CF vs Chicago Fire FC,Inter Miami CF vs Chicago Fire FC 2024-07-20
2024-08-24,New York City FC,2,Chicago Fire FC,2,New York City FC vs Chicago Fire FC,New York City FC vs Chicago Fire FC 2024-08-24
2024-09-01,Chicago Fire FC,1,Inter Miami CF,4,Chicago Fire FC vs Inter Miami CF,Chicago Fire FC vs Inter Miami CF 2024-09-01
2024-09-08,Chicago Fire FC,1,DC United,2,Chicago Fire FC vs DC United,Chicago Fire FC vs DC United 2024-09-08
2024-07-18,FC Dallas,3,Austin FC,1,FC Dallas vs Austin FC,FC Dallas vs Austin FC 2024-07-18
2024-07-20,New England Revolution,1,FC Dallas,1,New England Revolution vs FC Dallas,New England Revolution vs FC Dallas 2024-07-20
2024-08-24,DC United,3,FC Dallas,4,DC United vs FC Dallas,DC United vs FC Dallas 2024-08-24
2024-09-01,FC Dallas,2,Colorado Rapids,3,FC Dallas vs Colorado Rapids,FC Dallas vs Colorado Rapids 2024-09-01
2024-09-08,Vancouver Whitecaps,0,FC Dallas,0,Vancouver Whitecaps vs FC Dallas,Vancouver Whitecaps vs FC Dallas 2024-09-08
2024-07-17,New York Red Bulls,2,CF Montreal,2,New York Red Bulls vs CF Montreal,New York Red Bulls vs CF Montreal 2024-07-17
2024-07-20,New York Red Bulls,3,FC Cincinnati,1,New York Red Bulls vs FC Cincinnati,New York Red Bulls vs FC Cincinnati 2024-07-20
2024-08-24,Charlotte FC,1,New York Red Bulls,1,Charlotte FC vs New York Red Bulls,Charlotte FC vs New York Red Bulls 2024-08-24
2024-08-31,New York Red Bulls,0,Philadelphia Union,2,New York Red Bulls vs Philadelphia Union,New York Red Bulls vs Philadelphia Union 2024-08-31
2024-09-07,New York Red Bulls,1,Sporting Kansas City,1,New York Red Bulls vs Sporting Kansas City,New York Red Bulls vs Sporting Kansas City 2024-09-07
2024-07-17,Philadelphia Union,5,New England Revolution,1,Philadelphia Union vs New England Revolution,Philadelphia Union vs New England Revolution 2024-07-17
2024-07-20,New England Revolution,1,FC Dallas,1,New England Revolution vs FC Dallas,New England Revolution vs FC Dallas 2024-07-20
2024-08-24,CF Montreal,0,New England Revolution,5,CF Montreal vs New England Revolution,CF Montreal vs New England Revolution 2024-08-24
2024-09-01,Real Salt Lake,2,New England Revolution,0,Real Salt Lake vs New England Revolution,Real Salt Lake vs New England Revolution 2024-09-01
2024-09-07,New England Revolution,2,St. Louis City,2,New England Revolution vs St. Louis City,New England Revolution vs St. Louis City 2024-09-07
2024-07-13,DC United,2,Nashville SC,1,DC United vs Nashville SC,DC United vs Nashville SC 2024-07-13
2024-07-18,Minnesota United,2,DC United,3,Minnesota United vs DC United,Minnesota United vs DC United 2024-07-18
2024-08-24,DC United,3,FC Dallas,4,DC United vs FC Dallas,DC United vs FC Dallas 2024-08-24
2024-08-31,Toronto FC,1,DC United,3,Toronto FC vs DC United,Toronto FC vs DC United 2024-08-31
2024-09-08,Chicago Fire FC,1,DC United,2,Chicago Fire FC vs DC United,Chicago Fire FC vs DC United 2024-09-08
2024-07-14,San Jose Earthquakes,1,Sporting Kansas City,2,San Jose Earthquakes vs Sporting Kansas City,San Jose Earthquakes vs Sporting Kansas City 2024-07-14
2024-07-18,San Jose Earthquakes,0,Houston Dynamo FC,1,San Jose Earthquakes vs Houston Dynamo FC,San Jose Earthquakes vs Houston Dynamo FC 2024-07-18
2024-07-21,Minnesota United,2,San Jose Earthquakes,0,Minnesota United vs San Jose Earthquakes,Minnesota United vs San Jose Earthquakes 2024-07-21
2024-08-25,Real Salt Lake,0,San Jose Earthquakes,2,Real Salt Lake vs San Jose Earthquakes,Real Salt Lake vs San Jose Earthquakes 2024-08-25
2024-09-01,San Jose Earthquakes,1,Minnesota United,2,San Jose Earthquakes vs Minnesota United,San Jose Earthquakes vs Minnesota United 2024-09-01
2024-07-14,San Jose Earthquakes,1,Sporting Kansas City,2,San Jose Earthquakes vs Sporting Kansas City,San Jose Earthquakes vs Sporting Kansas City 2024-07-14
2024-07-18,Vancouver Whitecaps,2,Sporting Kansas City,1,Vancouver Whitecaps vs Sporting Kansas City,Vancouver Whitecaps vs Sporting Kansas City 2024-07-18
2024-07-21,Sporting Kansas City,1,St. Louis City,1,Sporting Kansas City vs St. Louis City,Sporting Kansas City vs St. Louis City 2024-07-21
2024-08-25,Sporting Kansas City,3,Orlando City,0,Sporting Kansas City vs Orlando City,Sporting Kansas City vs Orlando City 2024-08-25
2024-09-07,New York Red Bulls,1,Sporting Kansas City,1,New York Red Bulls vs Sporting Kansas City,New York Red Bulls vs Sporting Kansas City 2024-09-07
2024-07-14,Portland Timbers,3,Real Salt Lake,0,Portland Timbers vs Real Salt Lake,Portland Timbers vs Real Salt Lake 2024-07-14
2024-07-18,Los Angeles FC,1,Real Salt Lake,1,Los Angeles FC vs Real Salt Lake,Los Angeles FC vs Real Salt Lake 2024-07-18
2024-07-21,Colorado Rapids,3,Real Salt Lake,2,Colorado Rapids vs Real Salt Lake,Colorado Rapids vs Real Salt Lake 2024-07-21
2024-08-25,Real Salt Lake,0,San Jose Earthquakes,2,Real Salt Lake vs San Jose Earthquakes,Real Salt Lake vs San Jose Earthquakes 2024-08-25
2024-09-01,Real Salt Lake,2,New England Revolution,0,Real Salt Lake vs New England Revolution,Real Salt Lake vs New England Revolution 2024-09-01
