Date,Round,Match,Home,Away
2024-07-17,6001,Columbus Crew 1-1 Charlotte FC,Columbus Crew,Charlotte FC
2024-07-20,6001,Atlanta United 2-1 Columbus Crew,Atlanta United,Columbus Crew
2024-08-28,6001,Philadelphia Union 0-1 Columbus Crew,Philadelphia Union,Columbus Crew
2024-08-31,6001,Columbus Crew 4-2 New York City FC,Columbus Crew,New York City FC
2024-09-07,6001,Columbus Crew 0-4 Seattle Sounders FC,Columbus Crew,Seattle Sounders FC
2024-07-17,6397,FC Cincinnati 0-1 Chicago Fire FC,FC Cincinnati,Chicago Fire FC
2024-07-20,6397,Inter Miami CF 2-1 Chicago Fire FC,Inter Miami CF,Chicago Fire FC
2024-08-24,6397,New York City FC 2-2 Chicago Fire FC,New York City FC,Chicago Fire FC
2024-09-01,6397,Chicago Fire FC 1-4 Inter Miami CF,Chicago Fire FC,Inter Miami CF
2024-09-08,6397,Chicago Fire FC 1-2 DC United,Chicago Fire FC,DC United
2024-07-18,6399,FC Dallas 3-1 Austin FC,FC Dallas,Austin FC
2024-07-20,6399,New England Revolution 1-1 FC Dallas,New England Revolution,FC Dallas
2024-08-24,6399,DC United 3-4 FC Dallas,DC United,FC Dallas
2024-09-01,6399,FC Dallas 2-3 Colorado Rapids,FC Dallas,Colorado Rapids
2024-09-08,6399,Vancouver Whitecaps 0-0 FC Dallas,Vancouver Whitecaps,FC Dallas
2024-07-17,6514,New York Red Bulls 2-2 CF Montreal,New York Red Bulls,CF Montreal
2024-07-20,6514,New York Red Bulls 3-1 FC Cincinnati,New York Red Bulls,FC Cincinnati
2024-08-24,6514,Charlotte FC 1-1 New York Red Bulls,Charlotte FC,New York Red Bulls
2024-08-31,6514,New York Red Bulls 0-2 Philadelphia Union,New York Red Bulls,Philadelphia Union
2024-09-07,6514,New York Red Bulls 1-1 Sporting Kansas City,New York Red Bulls,Sporting Kansas City
2024-07-17,6580,Philadelphia Union 5-1 New England Revolution,Philadelphia Union,New England Revolution
2024-07-20,6580,New England Revolution 1-1 FC Dallas,New England Revolution,FC Dallas
2024-08-24,6580,CF Montreal 0-5 New England Revolution,CF Montreal,New England Revolution
2024-09-01,6580,Real Salt Lake 2-0 New England Revolution,Real Salt Lake,New England Revolution
2024-09-07,6580,New England Revolution 2-2 St. Louis City,New England Revolution,St. Louis City
2024-07-13,6602,DC United 2-1 Nashville SC,DC United,Nashville SC
2024-07-18,6602,Minnesota United 2-3 DC United,Minnesota United,DC United
2024-08-24,6602,DC United 3-4 FC Dallas,DC United,FC Dallas
2024-08-31,6602,Toronto FC 1-3 DC United,Toronto FC,DC United
2024-09-08,6602,Chicago Fire FC 1-2 DC United,Chicago Fire FC,DC United
2024-07-14,6603,San Jose Earthquakes 1-2 Sporting Kansas City,San Jose Earthquakes,Sporting Kansas City
2024-07-18,6603,San Jose Earthquakes 0-1 Houston Dynamo FC,San Jose Earthquakes,Houston Dynamo FC
2024-07-21,6603,Minnesota United 2-0 San Jose Earthquakes,Minnesota United,San Jose Earthquakes
